"gene","avg_log2FC","p_val_adj"
"NEFH",4.23483719815336,0
"NEFM",3.34643060904685,0
"SNCG",3.22746758192101,0
"TUBB2A",3.11813560107703,0
"HSPA8",3.05941961078981,0
"FTH1",2.84610732998338,0
"LDHA",2.81995031913242,0
"EPDR1",2.81904518237636,0
"RPL7A",2.77852016588345,0
"GAPDH",2.75723018275648,0
"NEFL",2.70669520870444,0
"LGALS1",2.64213970169858,4.72597604752502e-307
"HSP90AA1",2.63757090664921,0
"PGAM1",2.62682163345415,0
"NDUFA1",2.6028561210994,0
"UBB",2.59833776798744,0
"ATP1B1",2.56172855035997,0
"SRP14",2.5264481111216,0
"GLUL",2.52463841742412,0
"BEX3",2.51780019394454,0
"NAP1L5",2.51495733114985,0
"GOT1",2.51178690085263,0
"CYCS",2.5107513119734,0
"GHITM",2.50326834864472,0
"COX5B",2.46965908852861,0
"PPIA",2.45039979770946,0
"ATP5MC3",2.44327052850989,0
"MAP1A",2.42639208177851,0
"ATP6AP2",2.42358958988715,0
"UQCR10",2.42089432034542,0
"PRDX5",2.41682989783816,0
"PRPS1",2.41056771617379,0
"COX7C",2.40518245932516,0
"GFAP",2.3766271523478,2.2574457566056e-312
"RPL15",2.37477972040299,0
"TRMT112",2.36357082883871,0
"BEX1",2.36171119614821,0
"RAB3A",2.35800616768891,0
"CST3",2.35615584955203,0
"MOAP1",2.3478297502515,0
"PRDX3",2.34686338244669,0
"TMSB4X",2.34330780913475,0
"COX7B",2.34212518031527,0
"NDUFA4",2.33660093908092,0
"ACTG1",2.33384105780945,0
"NORAD",2.32071368206605,0
"RPLP1",2.31743812427785,0
"TUBB",2.30902359757025,0
"PEG10",2.30700082506704,0
"SNN",2.30600155259955,0
"COPS9",2.30516285312049,0
"FAU",2.30073953541992,0
"COX6B1",2.30062302995711,0
"INA",2.29374103300545,0
"ATP6V1F",2.29054335366219,0
"PLP1",2.28509274708968,0
"UQCRH",2.2806547738615,0
"RPS23",2.27810869525618,0
"ITM2C",2.27787548429184,0
"GSTP1",2.27597225627251,0
"RRAGA",2.27248131488625,0
"CALM3",2.26655954198449,0
"EIF5A",2.2646223926433,0
"ATP5IF1",2.26263557415427,0
"TUBA1B",2.26240539233954,0
"HINT1",2.25848937637324,0
"NDUFS5",2.25780793314454,0
"VAMP1",2.25511195169117,0
"ATP5F1E",2.25053112450009,0
"SPARCL1",2.2483882075383,0
"NDUFC1",2.24752699037845,0
"PGRMC1",2.24203053207975,0
"MRFAP1",2.24151750144895,0
"UBL5",2.23823966102307,0
"VGF",2.23719545156921,0
"APOE",2.23646696422864,0
"RFK",2.22878434978923,0
"SOD1",2.22462000439807,0
"ELOB",2.21636161388036,0
"PRDX1",2.21584927112493,0
"SELENOK",2.21391505388791,0
"RPL29",2.2134187824412,0
"NSG1",2.21317401158556,0
"SH3BGRL3",2.21022817086176,0
"RGS4",2.20567296306297,0
"TMSB10",2.20358282053623,0
"PCSK1N",2.20211993827236,0
"COX4I1",2.19884225978848,0
"UQCRQ",2.19855046002111,5.28966443063472e-319
"TIMP2",2.19660118614259,0
"PNMA8A",2.19119033422337,0
"CD63",2.19044134448701,0
"SLC26A4-AS1",2.18855567962971,0
"ACLY",2.18518481043873,0
"MICOS13",2.18369074083751,0
"NDUFB11",2.18322848797956,0
"PELI3",2.18311450383337,0
"NDUFA8",2.18226016866745,0
"ARL4C",2.17980148955556,0
"SERF2",2.17723349831405,0
"TSPAN7",2.17711760445256,0
"CLU",2.17649398900445,0
"SERINC1",2.17336743666548,0
"ATP5MK",2.17222964024112,0
"COX7A2",2.16662165390294,0
"BEX4",2.16572062537939,0
"ATP5MJ",2.1652226756958,0
"GADD45GIP1",2.16347717506274,0
"MTLN",2.16303571469069,0
"NRIP3",2.16168617004718,0
"SCG2",2.16084324961089,0
"BEX2",2.16039932453817,0
"TCEAL7",2.15761358036564,0
"ATP6V1E1",2.15743969899292,0
"TUBA4A",2.15472448303798,0
"SPRYD3",2.1529134810723,0
"RPL13",2.15268122521998,0
"EIF1B",2.15107747123741,0
"C9orf78",2.14928353202447,0
"ATP1B2",2.14858868804256,0
"CALM1",2.14855505828392,0
"RAN",2.14723309121873,0
"RPS19",2.14680777754196,0
"RPS4X",2.14402578580318,0
"PNMA2",2.14127636914631,0
"TUBA1A",2.14058200993825,0
